iter	Passed	Remaining
913	5529	24721
914	5541	24738
915	5546	24728
916	5556	24742
917	5563	24740
918	5575	24758
919	5581	24751
920	5593	24774
921	5601	24775
922	5612	24792
923	5623	24808
924	5629	24801
925	5640	24817
926	5646	24810
927	5658	24828
928	5664	24821
929	5676	24844
930	5683	24838
931	5694	24857
932	5705	24870
933	5711	24862
934	5719	24866
935	5728	24872
936	5739	24886
937	5744	24876
938	5753	24882
939	5762	24890
940	5774	24907
941	5779	24898
942	5791	24916
943	5796	24904
944	5808	24923
945	5814	24915
946	5826	24935
947	5832	24929
948	5843	24944
949	5853	24952
950	5862	24959
951	5867	24949
952	5872	24938
953	5877	24926
954	5882	24915
955	5887	24903
956	5892	24891
957	5897	24880
958	5901	24869
959	5907	24859
960	5911	24847
961	5923	24864
962	5929	24856
963	5942	24878
964	5948	24870
965	5960	24889
966	5970	24902
967	5976	24894
968	5984	24895
969	5995	24907
970	6006	24923
971	6012	24916
972	6023	24931
973	6029	24922
974	6041	24941
975	6048	24937
976	6059	24951
977	6068	24957
978	6075	24951
979	6084	24959
980	6094	24968
981	6105	24981
982	6119	25005
983	6125	25001
984	6135	25009
985	6142	25008
986	6151	25012
987	6165	25038
988	6174	25043
989	6181	25038
990	6192	25051
991	6203	25062
992	6208	25051
993	6212	25037
994	6224	25055
995	6234	25063
996	6241	25058
997	6245	25046
998	6258	25063
999	6265	25063
1000	6276	25076
1001	6287	25088
1002	6292	25076
1003	6302	25084
1004	6310	25083
1005	6315	25073
1006	6320	25061
1007	6325	25049
1008	6330	25037
1009	6334	25024
1010	6339	25011
1011	6343	24998
1012	6348	24985
1013	6352	24972
1014	6357	24958
1015	6361	24945
1016	6366	24932
1017	6370	24919
1018	6375	24906
1019	6379	24893
1020	6384	24880
1021	6388	24867
1022	6393	24853
1023	6397	24840
1024	6402	24828
1025	6406	24815
1026	6411	24801
1027	6415	24788
1028	6420	24775
1029	6424	24762
1030	6429	24750
1031	6433	24737
1032	6437	24723
1033	6442	24710
1034	6446	24696
1035	6450	24682
1036	6455	24670
1037	6460	24658
1038	6464	24645
1039	6469	24632
1040	6473	24619
1041	6478	24606
1042	6482	24594
1043	6487	24581
1044	6491	24568
1045	6496	24556
1046	6500	24543
1047	6505	24530
1048	6509	24517
1049	6514	24505
1050	6518	24492
1051	6523	24480
1052	6527	24467
1053	6532	24455
